"from_id","to_id","confidence"
2001,10000,0.5715
2002,10000,0.5476
2004,10000,0.591
2005,10000,0.5397
2006,10000,0.6634
2007,10000,0.599
2009,10000,0.6442
2011,10000,0.6512
2012,10000,0.638
2013,10000,0.5496
2015,10000,0.5352
2016,10000,0.53
2019,10000,0.523
2020,10000,0.4888
2024,10000,0.7341
2026,10000,0.6544
2028,10000,0.6252
2033,10000,0.4361
2038,10000,0.4132
2039,10000,0.7551
2040,10000,0.6365
2041,10000,0.6117
2042,10000,0.6366
2043,10000,0.6137
2044,10000,0.6447
2045,10000,0.6496
2047,10000,0.5472
2066,10000,0.5127
2100,10000,0.4229
2001,10001,0.5706
2019,10001,0.6055
2030,10001,0.5126
2055,10001,0.6918
2056,10001,0.6894
2082,10001,0.5644
2001,10002,0.513
2008,10002,0.6901
2001,10003,0.4688
2007,10003,0.3512
2010,10003,0.3559
2029,10003,0.4482
2030,10003,0.4423
2031,10003,0.4032
2001,10004,0.4606
2001,10005,0.4403
2001,10006,0.4212
2031,10006,0.4553
2067,10006,0.5198
2068,10006,0.4549
2097,10006,0.501
2001,10007,0.3988
2004,10007,0.3747
2013,10007,0.4318
2014,10007,0.3589
2072,10007,0.2686
2077,10007,0.3086
2100,10007,0.3983
2001,10008,0.3496
2019,10008,0.3443
2028,10008,0.3165
2030,10008,0.3448
2061,10008,0.392
2063,10008,0.3868
2064,10008,0.4561
2068,10008,0.5688
2091,10008,0.5702
2001,10009,0.3198
2002,10009,0.342
2018,10009,0.3464
2001,10011,0.2627
2030,10011,0.2196
2069,10011,0.2112
2002,10012,0.466
2066,10012,0.5739
2002,10013,0.4547
2002,10014,0.4254
2002,10015,0.4217
2029,10015,0.4413
2002,10016,0.4004
2003,10016,0.3943
2005,10016,0.4388
2006,10016,0.2787
2008,10016,0.5093
2013,10016,0.4488
2016,10016,0.3434
2017,10016,0.4484
2018,10016,0.5261
2019,10016,0.3351
2056,10016,0.2777
2067,10016,0.2654
2068,10016,0.2857
2086,10016,0.3227
2091,10016,0.306
2092,10016,0.3283
2094,10016,0.3613
2095,10016,0.2718
2096,10016,0.4305
2098,10016,0.3543
2002,10017,0.3921
2003,10017,0.4108
2007,10017,0.3224
2002,10018,0.2994
2010,10018,0.2901
2050,10018,0.48
2054,10018,0.2426
2064,10018,0.3701
2002,10019,0.2923
2002,10020,0.2828
2016,10020,0.4633
2039,10020,0.2488
2047,10020,0.2626
2065,10020,0.325
2070,10020,0.3163
2086,10020,0.3567
2094,10020,0.3848
2095,10020,0.4198
2003,10022,0.612
2003,10023,0.5107
2003,10024,0.451
2003,10026,0.3835
2007,10026,0.3344
2008,10026,0.4099
2017,10026,0.3893
2018,10026,0.4398
2020,10026,0.4301
2076,10026,0.2171
2079,10026,0.2116
2081,10026,0.2658
2084,10026,0.3517
2087,10026,0.2878
2095,10026,0.328
2096,10026,0.4562
2101,10026,0.3379
2102,10026,0.4065
2003,10027,0.3773
2012,10027,0.3634
2017,10027,0.4077
2018,10027,0.5844
2019,10027,0.4017
2020,10027,0.382
2042,10027,0.3668
2003,10028,0.3183
2008,10028,0.2941
2013,10028,0.3587
2018,10028,0.3418
2020,10028,0.2706
2004,10032,0.6067
2004,10033,0.5741
2024,10033,0.3692
2028,10033,0.3913
2029,10033,0.389
2031,10033,0.4772
2092,10033,0.4259
2004,10034,0.4838
2069,10034,0.568
2004,10035,0.4355
2074,10035,0.3558
2088,10035,0.4446
2004,10036,0.4215
2004,10037,0.4131
2052,10037,0.303
2004,10038,0.3697
2027,10038,0.2738
2004,10039,0.3393
2012,10039,0.3632
2017,10039,0.4691
2004,10040,0.3102
2005,10040,0.4811
2007,10040,0.3278
2011,10040,0.3278
2013,10040,0.4225
2016,10040,0.3797
2021,10040,0.3853
2043,10040,0.3133
2044,10040,0.2954
2045,10040,0.3967
2048,10040,0.3045
2094,10040,0.3803
2095,10040,0.3822
2096,10040,0.4438
2097,10040,0.2435
2098,10040,0.4227
2004,10041,0.2914
2012,10041,0.3256
2022,10041,0.3543
2005,10042,0.593
2048,10042,0.5925
2053,10042,0.5171
2061,10042,0.5928
2005,10043,0.5202
2005,10044,0.5069
2005,10045,0.4857
2022,10045,0.5355
2039,10045,0.4858
2040,10045,0.5131
2042,10045,0.61
2043,10045,0.6163
2044,10045,0.5849
2056,10045,0.5294
2066,10045,0.6071
2071,10045,0.5825
2083,10045,0.6582
2084,10045,0.621
2005,10046,0.4666
2025,10046,0.4663
2026,10046,0.3541
2005,10047,0.4255
2005,10048,0.4226
2082,10048,0.2984
2005,10049,0.4017
2005,10050,0.4003
