from_id,to_id,strength
2077,1070,1
2078,1071,1
2079,1084,1
2080,1070,1
2081,1072,1
2071,1073,1
2071,1076,1
2071,1077,1
2071,1079,1
2072,1074,1
2073,1075,1
2073,1079,1
2074,1078,1
2074,1079,1
2075,1046,1
2075,1048,1
2075,1076,1
2075,1077,1
2075,1079,1
2001,1008,1
2001,1009,1
2002,1026,1
2002,1013,1
2003,1014,1
2004,1010,1
2004,1011,1
2005,1007,1
2005,1010,1
2017,1012,1
2018,1012,1
2006,1022,1
2007,1023,1
2007,1024,1
2008,1015,1
2009,1023,1
2010,1025,1
2011,1022,1
2014,1006,1
2014,1013,1
2014,1081,1
2015,1022,1
2016,1059,1
2022,1025,1
2023,1006,1
2024,1026,1
2025,1026,1
2026,1027,1
2027,1025,1
2028,1026,1
2028,1028,1
2029,1029,1
2030,1025,1
2031,1025,1
2032,1001,1
2033,1002,1
2034,1003,1
2034,1068,1
2035,1004,1
2036,1005,1
2038,1043,1
2038,1050,1
2038,1061,1
2038,1062,1
2038,1054,1
2038,1040,1
2038,1029,1
2038,1058,1
2038,1083,1
2038,1055,1
2038,1056,1
2038,1085,1
2038,1099,1
2038,1100,1
2038,1102,1
2038,1103,1
2038,1057,1
2038,1099,1
2038,1102,1
2039,1016,1
2039,1060,1
2039,1080,1
2040,1017,1
2041,1018,1
2042,1019,1
2043,1020,1
2044,1021,1
2044,1098,1
2045,1051,1
2046,1095,1
2047,1048,1
2048,1026,1
2048,1028,1
2049,1030,1
2050,1035,1
2051,1032,1
2051,1035,1
2053,1030,1
2053,1032,1
2053,1033,1
2054,1031,1
2054,1066,1
2055,1036,1
2055,1038,1
2055,1087,1
2056,1037,1
2056,1038,1
2056,1039,1
2056,1040,1
2057,1041,1
2057,1045,1
2057,1046,1
2057,1064,1
2058,1042,1
2058,1045,1
2059,1045,1
2060,1052,1
2067,1032,1
2067,1034,1
2067,1047,1
2067,1066,1
2068,1053,1
2069,1067,1
2070,1044,1
2061,1049,1
2061,1051,1
2061,1064,1
2061,1065,1
2062,1060,1
2062,1062,1
2063,1061,1
2063,1043,1
2064,1063,1
2066,1050,1
2101,1106,1
2102,1104,1
2102,1088,1
2095,1101,1
2096,1101,1
2087,1094,1
2088,1094,1
2091,1088,1
2091,1089,1
2092,1089,1
2092,1091,1
2082,1086,1
2082,1090,1
2083,1092,1
2083,1093,1
2084,1095,1
2084,1093,1
2085,1093,1
2085,1090,1
2093,1096,1
2094,1097,1
