"id","name","accronym"
10000,"supply chain risk management",""
10001,"cybersecurity awareness",""
10002,"governance integration",""
10003,"comprehensive asset management",""
10004,"cyber risk quantification",""
10005,"identity management",""
10006,"advanced threat intelligence sharing",""
10007,"continuous improvement process",""
10008,"incident response",""
10009,"organizational communication",""
10011,"legal compliance",""
10012,"remote workforce security",""
10013,"governance framework integration",""
10014,"data protection prioritization",""
10015,"security monitoring",""
10016,"regulatory compliance",""
10017,"business objectives",""
10018,"identity verification",""
10019,"geographic data considerations",""
10020,"resilience",""
10022,"holistic cybersecurity policy development",""
10023,"risk management strategy integration",""
10024,"governance structure optimization",""
10026,"continuous improvement",""
10027,"stakeholder engagement",""
10028,"performance metrics",""
10032,"cybersecurity leadership",""
10033,"resilience planning",""
10034,"advanced threat intelligence integration",""
10035,"proactive threat",""
10036,"adaptive risk assessment models",""
10037,"proactive asset management",""
10038,"adaptive governance frameworks",""
10039,"strategic alignment",""
10040,"stakeholder communication",""
10041,"data protection",""
10042,"security awareness",""
10043,"continuous security assessment",""
10044,"strategic cybersecurity investments",""
10045,"threat intelligence integration",""
10046,"incident response coordination",""
10047,"risk assessment alignment",""
10048,"continuous improvement mechanism",""
10049,"adaptive protection strategies",""
10050,"technology innovation",""
10051,"comprehensive risk management lifecycle",""
10052,"risk management practices",""
10053,"risk assessment",""
10054,"cybersecurity",""
10055,"incident impact analysis",""
10056,"business strategy",""
10057,"stakeholder collaboration",""
10058,"continuous monitoring",""
10060,"threat intelligence incorporation",""
10061,"collaborative risk management",""
10062,"risk mitigation",""
10063,"cybersecurity culture",""
10064,"dynamic risk assessment models",""
10065,"resilience measures",""
10066,"legal compliance integration",""
10067,"strategic planning integration",""
10068,"risk management",""
10069,"risk communication",""
10070,"resource allocation",""
10074,"enterprise risk management",""
10075,"comprehensive risk assessment",""
10076,"cybersecurity metrics",""
10077,"adaptive risk management frameworks",""
10078,"incident preparedness",""
10079,"advanced threat intelligence",""
10080,"strategic risk appetite alignment",""
10081,"regular risk review",""
10082,"supply chain risk management integration",""
10083,"cybersecurity awareness training",""
10084,"threat intelligence sharing",""
10085,"cloud security adaptation",""
10086,"vulnerability management",""
10087,"data privacy",""
10090,"comprehensive risk management strategy",""
10091,"risk identification",""
10092,"regular risk assessment",""
10093,"business processes",""
10095,"advanced technologies",""
10096,"regulatory alignment",""
10097,"risk management integration",""
10098,"incident recovery planning",""
10099,"continuous improvement cycle",""
10102,"customizable implementation",""
10104,"strategic organizational planning",""
10106,"resource prioritization",""
10107,"comprehensive incident response",""
10108,"cybersecurity events",""
10109,"cyber risk",""
10110,"threat intelligence platforms",""
10111,"supply chain resilience",""
10112,"user awareness training",""
10113,"stakeholder communication strategies",""
10114,"data protection methods",""
10115,"external information",""
10117,"comprehensive vulnerability management",""
10118,"incident readiness",""
10119,"quantitative risk metrics",""
10120,"cloud security considerations",""
10121,"data protection enhancements",""
10122,"threat intelligence",""
10123,"asset visibility",""
10124,"access complexities",""
10127,"disaster recovery capabilities",""
10128,"risk response strategies",""
10129,"business continuity planning",""
10130,"cyber insurance considerations",""
10133,"governance framework enhancement",""
10134,"security culture",""
10135,"level involvement",""
10137,"governance incorporation",""
10138,"strategic planning alignment",""
10139,"standard development",""
10140,"resource alignment",""
10142,"organizational cybersecurity governance",""
10145,"cybersecurity risk management integration",""
10146,"leadership commitment",""
10147,"information sharing",""
10148,"civil liberties",""
10149,"supply chain security",""
10150,"governance scope",""
10151,"adaptive risk management",""
10152,"privacy controls",""
10153,"quantitative risk assessment",""
10154,"employee training",""
10155,"supply chain risk management enhancement",""
10156,"security awareness training",""
10157,"vulnerability management program",""
10158,"cloud security focus",""
10159,"comprehensive identity verification",""
10160,"asset management refinement",""
10161,"cyber supply chain risk management",""
10162,"vulnerability management integration",""
10163,"cybersecurity role",""
10164,"asset inventory accuracy",""
10165,"asset management visibility",""
10166,"asset decommissioning",""
10167,"data security",""
10168,"external dependencies management",""
10169,"resource classification",""
10170,"asset association",""
10171,"supply chain transparency",""
10172,"vendor risk assessments",""
10173,"security requirements",""
10174,"suppliers",""
10176,"party security performance",""
10179,"cybersecurity standards",""
10180,"cybersecurity activities",""
10181,"resilience frameworks",""
10182,"supply chain risk",""
10183,"asset management",""
10184,"cross - organizational communication",""
10186,"identity verification methods",""
10190,"cloud security enhancement",""
10191,"continuous security monitoring",""
10192,"robust encryption standards",""
10193,"party security",""
10195,"strategy integration",""
10197,"comprehensive cyber incident preparedness",""
10198,"cloud security strategy",""
10199,"systematic security control reviews",""
10200,"advanced endpoint detection",""
10201,"privacy considerations",""
10204,"comprehensive security awareness",""
10205,"strategic cybersecurity investment",""
10206,"cloud security",""
10207,"project management",""
10208,"trust architecture",""
